,Name,Entry Number,Timestamp,Total Time,Status
0,ANhvQcqwtS_1827MWX4423,1827MWX4423,"['11:13:06,12:24:55,01:11:49']",01:11:49,Present
1,ApjXFwquoy,,"['10:57:43,10:59:07,00:01:24', '10:59:07,12:24:29,01:25:22']",01:26:46,Present
2,BlUVnMBCyw_7077MOD4022,7077MOD4022,"['11:02:50,11:03:01,00:00:11']",00:00:11,Absent
3,BowMCVfKqn_2215SEW4680,2215SEW4680,"['10:59:06,12:03:49,01:04:43']",01:04:43,Present
4,BqaYnsssOG_4465GPE0982,4465GPE0982,"['11:16:00,2020-09-26 12:30:59,01:14:59']",01:14:59,Present
5,CENUJlflMr_6174IFB4290,6174IFB4290,"['10:56:12,10:59:05,00:02:53', '10:59:06,12:25:03,01:25:57']",01:28:50,Present
6,CkOdgipurk_9264WTW7119,9264WTW7119,"['11:04:03,11:38:12,00:34:09', '11:51:34,12:09:48,00:18:14', '12:18:24,12:25:10,00:06:46']",00:59:09,Present
7,DeKThdfHPS_3698HFP8237,3698HFP8237,"['10:56:12,10:57:27,00:01:15', '10:57:47,10:59:05,00:01:18', '10:59:06,11:13:19,00:14:13']",00:16:46,Absent
8,DiJEdoMSYE_3045XOA6936,3045XOA6936,"['11:12:16,2020-09-26 12:30:59,01:18:43']",01:18:43,Present
9,DpchnMBfah_2661RRC7034,2661RRC7034,"['11:07:27,12:24:57,01:17:30']",01:17:30,Present
10,DyAoYplcCG,,"['10:57:43,10:57:57,00:00:14', '10:58:14,10:58:18,00:00:04', '10:59:29,12:25:08,01:25:39']",01:25:57,Present
11,EOmIqRXRDu_0115BGU9510,0115BGU9510,"['10:59:39,12:24:43,01:25:04']",01:25:04,Present
12,EfDdKvncCb_1384TTH8561,1384TTH8561,"['10:56:12,11:05:05,00:08:53']",00:08:53,Absent
13,EjHmZUIlLi_1144GAR3665,1144GAR3665,"['11:18:06,11:23:05,00:04:59', '11:29:12,11:33:57,00:04:45']",00:09:44,Absent
14,EprfyYImHV_0468JCQ6471,0468JCQ6471,"['11:02:04,12:24:44,01:22:40']",01:22:40,Present
15,ErAcGNCLoU_0993HDA4785,0993HDA4785,"['11:07:35,11:20:47,00:13:12']",00:13:12,Absent
16,EzYiIeBVXf_8875ECV5523,8875ECV5523,"['11:00:36,11:00:46,00:00:10', '11:01:10,12:25:07,01:23:57']",01:24:07,Present
17,FhumgZBBxP_8401NUR1949,8401NUR1949,"['11:00:30,11:01:14,00:00:44', '11:01:14,12:25:05,01:23:51']",01:24:35,Present
18,FuBBrMzovM,,"['11:01:38,12:25:28,01:23:50']",01:23:50,Present
19,GBXweYDqsg_8427OXZ8258,8427OXZ8258,"['11:06:54,12:26:56,01:20:02']",01:20:02,Present
20,HFKKapiOpv_1022TDR8179,1022TDR8179,"['11:00:34,11:00:37,00:00:03']",00:00:03,Absent
21,HOfepDiTtB_8261XAE3637,8261XAE3637,"['11:10:48,11:14:27,00:03:39']",00:03:39,Absent
22,HPvGMWizLF_3701HLS7814,3701HLS7814,"['11:08:13,12:03:57,00:55:44']",00:55:44,Present
23,HTtlWCopbb_6381WML3887,6381WML3887,"['11:10:25,12:25:46,01:15:21']",01:15:21,Present
24,HaLMViUpSX_5913WDX3461,5913WDX3461,"['11:01:13,12:24:31,01:23:18']",01:23:18,Present
25,HojgCrUTmO_9432KLH2975,9432KLH2975,"['11:37:48,12:02:10,00:24:22']",00:24:22,Absent
26,IFjdylPmIA_8237GEU2376,8237GEU2376,"['11:21:57,12:25:38,01:03:41']",01:03:41,Present
27,IFtcDyjYAb_1501DIH8512,1501DIH8512,"['11:03:14,12:24:55,01:21:41']",01:21:41,Present
28,ILTRybPlEi_6008ZGZ3675,6008ZGZ3675,"['11:02:14,12:24:51,01:22:37']",01:22:37,Present
29,ISfwOTbWPt_1258MQE2279,1258MQE2279,"['10:58:20,11:01:23,00:03:03']",00:03:03,Absent
30,IWoaCKnPOE_0654NUL5820,0654NUL5820,"['11:39:54,12:02:22,00:22:28']",00:22:28,Absent
31,JLUsupafne_5185YZM7415,5185YZM7415,"['11:11:32,11:13:41,00:02:09', '11:13:57,11:14:05,00:00:08', '11:18:32,11:20:49,00:02:17', '11:22:47,12:25:32,01:02:45']",01:07:19,Present
32,JOHCMneasp,,"['10:56:12,10:56:32,00:00:20']",00:00:20,Absent
33,JPgNGKveWM_0760HRA9473,0760HRA9473,"['11:00:24,12:11:53,01:11:29']",01:11:29,Present
34,JbWfKitNxH_1786KET3376,1786KET3376,"['10:57:09,10:59:33,00:02:24']",00:02:24,Absent
35,JmExbcPRxI_0891IZF5983,0891IZF5983,"['10:56:12,10:59:06,00:02:54', '10:59:06,12:24:54,01:25:48']",01:28:42,Present
